"","if.bias","pi.bias","CACE.bias","piPar.bias","delta"
"1",0.630690648321628,0.74762613684473,0.666086128869207,0.671286727496026,1
"2",0.638998575372218,0.663913738273659,0.671663658224836,0.689606472772649,1
"3",0.57903418897276,0.664988494741509,0.70928799859336,0.72252006463789,1
"4",0.823187955478486,0.660306020601308,0.794377704187792,0.806478117804321,1
"5",0.675549749567443,0.616704136954209,0.635834745084799,0.603545769699393,1
"6",0.665754979811484,0.667992637026756,0.665742315350318,0.69180968914838,1
"7",0.715442922422262,0.614938238739564,0.781503169196864,0.791576279323318,1
"8",0.520421767994919,0.687126905629306,0.709653850829618,0.715050768921496,1
"9",0.821009465904167,0.677152566945391,0.892550098740523,0.890244584348172,1
"10",0.601728683091013,0.639458355675677,0.777634955216089,0.78367530073413,1
"11",0.171397683109591,0.263954143093167,0.217407055248077,0.242629103555362,2
"12",0.505579137612688,0.249403139500666,0.397954997731983,0.418606621556899,2
"13",0.325488250834681,0.272357141355335,0.338289929751224,0.318710591205251,2
"14",0.537456937415442,0.313348975690672,0.460402658073505,0.441325282202451,2
"15",0.40009907532791,0.285640516436361,0.30618292477679,0.302893615859513,2
"16",-0.247781522614503,0.290668093706947,0.176469688129025,0.180848204888184,2
"17",0.0303304653735573,0.249252820326843,0.118719256440646,0.122842698281709,2
"18",0.564573440589561,0.32878162195568,0.601219314385849,0.579541837735485,2
"19",0.187339738826091,0.316634993220536,0.204871118581442,0.215895839173708,2
"20",0.148078968357192,0.308619500132509,0.104950141832277,0.105082817962853,2
"21",0.471066567715376,0.01509825509173,0.400931662342572,0.434317818524761,3
"22",0.273531369445111,-0.0691975963921002,0.202588368889946,0.17087398811543,3
"23",0.155057076946108,-0.00924170191580642,0.13817087204346,0.172936985382088,3
"24",0.659329561661967,-0.00677835371436064,-0.0206513657973384,-0.00678839190099911,3
"25",0.170607305785417,0.0039034599488208,-0.185661889623757,-0.137287199679985,3
"26",0.296251658266258,-0.0280788352926965,0.285765683485736,0.290057594135324,3
"27",-0.063880020298554,-0.0554703635183876,0.00959483703835884,-0.00269725503811757,3
"28",0.449599439872186,-0.0460457478030214,0.166894044662762,0.150288199793087,3
"29",0.286045848602612,0.0517758507770057,0.316684644332799,0.357099153406028,3
"30",0.286035141780701,0.0236591788474941,0.0141087524924065,-0.000375777086512596,3
"31",0.00328259220685934,-0.159506312432157,-0.239232357321785,-0.219560221337634,4
"32",-0.125167263439768,-0.156535502275776,-0.124044054246797,-0.0569182568103097,4
"33",0.264760293136385,-0.190961091042508,0.0341647633166156,0.0202726985069791,4
"34",-0.216331362963311,-0.177822688732386,0.0105435773805221,-0.0281144168381049,4
"35",-0.620928659637667,-0.173322727585834,-0.20338347138771,-0.194993276174217,4
"36",0.104744366540743,-0.211121665408687,-0.0968514355340945,-0.139042979640223,4
"37",0.666659512493769,-0.11569755085598,0.294734177901972,0.309893646305552,4
"38",-0.165246277021465,-0.223468336536507,-0.223692813654924,-0.192083474327957,4
"39",0.470585909803505,-0.167064533695176,-0.11926871271894,-0.0592433467265794,4
"40",0.641296079607075,-0.198742042439817,-0.262273728480181,-0.286689469521741,4
