"","true.eff","delta","IF","PI","IF.sd","PI.sd"
"1",2,1,2.00282606849787,1.98898466355794,0.03904028634607,0.0397796932711589
"2",2,1,1.99331573281202,2.00651623197814,0.0375757466414957,0.0401303246395627
"3",2,1,2.13371854103601,2.12032003355615,0.0387005876460418,0.0424064006711229
"4",2,1,2.15882453073884,2.13768036420214,0.039537371057236,0.0427536072840428
"5",2,1,1.92328839330419,1.93418974994983,0.0356539148700713,0.0386837949989967
"6",2,1,2.11335119362819,2.11337491721306,0.0394010206995571,0.0422674983442613
"7",2,1,2.02480339321256,2.04506862038147,0.0375051891425451,0.0409013724076295
"8",2,1,2.09920217042564,2.13676631007915,0.0392235583983871,0.0427353262015831
"9",2,1,2.02353009708721,2.02587168146367,0.037476963709582,0.0405174336292733
"10",2,1,1.87553250246776,1.89678683885472,0.0349685258670962,0.0379357367770945
"11",2,2,2.23297674732282,2.23712473173582,0.039792280573986,0.0447424946347164
"12",2,2,2.15213822161484,2.15223474884287,0.0370953129434055,0.0430446949768574
"13",2,2,2.09934273432576,2.10185664818169,0.0374583548478258,0.0420371329636338
"14",2,2,2.17048022918926,2.15480778643651,0.0377741072035706,0.0430961557287302
"15",2,2,2.06468387363406,2.07127037437912,0.0368663483683014,0.0414254074875824
"16",2,2,2.14433329685671,2.11876760941401,0.0384215251008924,0.0423753521882802
"17",2,2,2.17360291347299,2.18113069419651,0.0380095877886924,0.0436226138839301
"18",2,2,2.19049096603732,2.19568438980826,0.038395661654169,0.0439136877961652
"19",2,2,2.28305908483396,2.32410616289345,0.0402522562508923,0.0464821232578689
"20",2,2,2.0821279384391,2.09601940891856,0.0365250335895874,0.0419203881783713
"21",2,3,2.41726359884372,2.41670545003057,0.0401821225561089,0.0483341090006114
"22",2,3,2.30728185147616,2.32485968356007,0.0393557223833907,0.0464971936712013
"23",2,3,2.36425385030853,2.36288583451828,0.0391749633131748,0.0472577166903656
"24",2,3,2.37079928279719,2.37132007236052,0.0406169958742327,0.0474264014472104
"25",2,3,2.39375799892685,2.39234277931429,0.039035543986646,0.0478468555862857
"26",2,3,2.35907671072776,2.3541724033573,0.0398869003227703,0.0470834480671459
"27",2,3,2.51052378240912,2.49905053179872,0.0408927168869831,0.0499810106359743
"28",2,3,2.41863988679917,2.4106718868237,0.0401127607049191,0.048213437736474
"29",2,3,2.36516914979656,2.35572142200353,0.0384915459477956,0.0471144284400706
"30",2,3,2.28343199517638,2.27092093719163,0.0382047648339196,0.0454184187438325
"31",2,4,2.58065899009196,2.56502000280959,0.0407982343382458,0.0513004000561918
"32",2,4,2.50997316725523,2.52807027187611,0.0408165441311693,0.0505614054375222
"33",2,4,2.46123318191061,2.46918193845756,0.039650311834815,0.0493836387691511
"34",2,4,2.69563065316845,2.69792693102408,0.0443913134752021,0.0539585386204816
"35",2,4,2.50649736637877,2.50417998340488,0.0393162145130078,0.0500835996680976
"36",2,4,2.66071974817979,2.6505417958537,0.0428737865362644,0.053010835917074
"37",2,4,2.60189543002749,2.60428891089869,0.0410386201800933,0.0520857782179739
"38",2,4,2.54835836066697,2.59462855721282,0.0395767973971146,0.0518925711442565
"39",2,4,2.70544511765127,2.69361909246347,0.0439561841172157,0.0538723818492694
"40",2,4,2.61690810890502,2.6522250181325,0.0408880356411559,0.0530445003626501
"41",2,5,2.98786281510849,2.98209982779843,0.0458718134425892,0.0596419965559687
"42",2,5,3.13290976935525,3.16716962712631,0.0477435542533043,0.0633433925425263
"43",2,5,2.84401333894856,2.87466813641985,0.0441463038932042,0.057493362728397
"44",2,5,2.84121502013432,2.87205722213304,0.0441465058160702,0.0574411444426608
"45",2,5,2.97753763634127,2.97936976910103,0.0456571619062913,0.0595873953820206
"46",2,5,2.92908525172001,2.89785841713282,0.0465474134482164,0.0579571683426565
"47",2,5,2.94947524968155,2.91747345543467,0.046247881501289,0.0583494691086935
"48",2,5,3.07405291881716,3.07490652371718,0.0459108333882622,0.0614981304743436
"49",2,5,3.04438570137174,3.07144979506156,0.0455268543025886,0.0614289959012313
"50",2,5,2.87350748732549,2.90263657728864,0.0483494766398021,0.0580527315457729
